Tier,Gene Symbol,RefSeqRNA Accession,Entrez ID,Gene Name,Gene Summary,NCBI Link
1,ADRA1A,NM_000680.3,148,adrenoceptor alpha 1A,"Alpha-1-adrenergic receptors (alpha-1-ARs) are members of the G protein-coupled receptor superfamily. They activate mitogenic responses and regulate growth and proliferation of many cells. There are 3 alpha-1-AR subtypes: alpha-1A, -1B and -1D, all of which signal through the Gq/11 family of G-proteins and different subtypes show different patterns of activation. This gene encodes alpha-1A-adrenergic receptor. Alternative splicing of this gene generates four transcript variants, which encode four different isoforms with distinct C-termini but having similar ligand binding properties.","<a href=""https://www.ncbi.nlm.nih.gov/gene/148"">https://www.ncbi.nlm.nih.gov/gene/148</a>"
1,ADRA1B,NM_000679.3,147,adrenoceptor alpha 1B,"Alpha-1-adrenergic receptors (alpha-1-ARs) are members of the G protein-coupled receptor superfamily. They activate mitogenic responses and regulate growth and proliferation of many cells. There are 3 alpha-1-AR subtypes: alpha-1A, -1B and -1D, all of which signal through the Gq/11 family of G-proteins and different subtypes show different patterns of activation. This gene encodes alpha-1B-adrenergic receptor, which induces neoplastic transformation when transfected into NIH 3T3 fibroblasts and other cell lines. Thus, this normal cellular gene is identified as a protooncogene. This gene comprises 2 exons and a single large intron of at least 20 kb that interrupts the coding region.","<a href=""https://www.ncbi.nlm.nih.gov/gene/147"">https://www.ncbi.nlm.nih.gov/gene/147</a>"
1,ADRA1D,NM_000678.3,146,adrenoceptor alpha 1D,"Alpha-1-adrenergic receptors (alpha-1-ARs) are members of the G protein-coupled receptor superfamily. They activate mitogenic responses and regulate growth and proliferation of many cells. There are 3 alpha-1-AR subtypes: alpha-1A, -1B and -1D, all of which signal through the Gq/11 family of G-proteins and different subtypes show different patterns of activation. This gene encodes alpha-1D-adrenergic receptor. Similar to alpha-1B-adrenergic receptor gene, this gene comprises 2 exons and a single intron that interrupts the coding region.","<a href=""https://www.ncbi.nlm.nih.gov/gene/146"">https://www.ncbi.nlm.nih.gov/gene/146</a>"
1,ADRA2A,NM_000681.3,150,adrenoceptor alpha 2A,"Alpha-2-adrenergic receptors are members of the G protein-coupled receptor superfamily. They include 3 highly homologous subtypes: alpha2A, alpha2B, and alpha2C. These receptors have a critical role in regulating neurotransmitter release from sympathetic nerves and from adrenergic neurons in the central nervous system. Studies in mouse revealed that both the alpha2A and alpha2C subtypes were required for normal presynaptic control of transmitter release from sympathetic nerves in the heart and from central noradrenergic neurons; the alpha2A subtype inhibited transmitter release at high stimulation frequencies, whereas the alpha2C subtype modulated neurotransmission at lower levels of nerve activity. This gene encodes alpha2A subtype and it contains no introns in either its coding or untranslated sequences.","<a href=""https://www.ncbi.nlm.nih.gov/gene/150"">https://www.ncbi.nlm.nih.gov/gene/150</a>"
1,ADRA2B,NM_000682.6,151,adrenoceptor alpha 2B,This intronless gene encodes a seven-pass transmembrane protein. This protein is a member of a subfamily of G protein-coupled receptors that regulate neurotransmitter release from sympathetic nerves and from adrenergic neurons in the central nervous system.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/151"">https://www.ncbi.nlm.nih.gov/gene/151</a>"
1,CHRM1,NM_000738.2,1128,cholinergic receptor muscarinic 1,"The muscarinic cholinergic receptors belong to a larger family of G protein-coupled receptors. The functional diversity of these receptors is defined by the binding of acetylcholine and includes cellular responses such as adenylate cyclase inhibition, phosphoinositide degeneration, and potassium channel mediation. Muscarinic receptors influence many effects of acetylcholine in the central and peripheral nervous system. The muscarinic cholinergic receptor 1 is involved in mediation of vagally-induced bronchoconstriction and in the acid secretion of the gastrointestinal tract. The gene encoding this receptor is localized to 11q13.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1128"">https://www.ncbi.nlm.nih.gov/gene/1128</a>"
1,CHRM2,NM_000739.2,1129,cholinergic receptor muscarinic 2,"The muscarinic cholinergic receptors belong to a larger family of G protein-coupled receptors. The functional diversity of these receptors is defined by the binding of acetylcholine to these receptors and includes cellular responses such as adenylate cyclase inhibition, phosphoinositide degeneration, and potassium channel mediation. Muscarinic receptors influence many effects of acetylcholine in the central and peripheral nervous system. The muscarinic cholinergic receptor 2 is involved in mediation of bradycardia and a decrease in cardiac contractility. Multiple alternatively spliced transcript variants have been described for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1129"">https://www.ncbi.nlm.nih.gov/gene/1129</a>"
1,CHRM3,NM_000740.2,1131,cholinergic receptor muscarinic 3,"The muscarinic cholinergic receptors belong to a larger family of G protein-coupled receptors. The functional diversity of these receptors is defined by the binding of acetylcholine and includes cellular responses such as adenylate cyclase inhibition, phosphoinositide degeneration, and potassium channel mediation. Muscarinic receptors influence many effects of acetylcholine in the central and peripheral nervous system. The muscarinic cholinergic receptor 3 controls smooth muscle contraction and its stimulation causes secretion of glandular tissue. Alternative promoter use and alternative splicing results in multiple transcript variants that have different tissue specificities.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1131"">https://www.ncbi.nlm.nih.gov/gene/1131</a>"
1,CHRM5,NM_012125.3,1133,cholinergic receptor muscarinic 5,"The muscarinic cholinergic receptors belong to a larger family of G protein-coupled receptors. The functional diversity of these receptors is defined by the binding of acetylcholine and includes cellular responses such as adenylate cyclase inhibition, phosphoinositide degeneration, and potassium channel mediation. Muscarinic receptors influence many effects of acetylcholine in the central and peripheral nervous system. The clinical implications of this receptor are unknown; however, stimulation of this receptor is known to increase cyclic AMP levels.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1133"">https://www.ncbi.nlm.nih.gov/gene/1133</a>"
1,CNR1,NM_016083.4,1268,cannabinoid receptor 1,"This gene encodes one of two cannabinoid receptors. The cannabinoids, principally delta-9-tetrahydrocannabinol and synthetic analogs, are psychoactive ingredients of marijuana. The cannabinoid receptors are members of the guanine-nucleotide-binding protein (G-protein) coupled receptor family, which inhibit adenylate cyclase activity in a dose-dependent, stereoselective and pertussis toxin-sensitive manner. The two receptors have been found to be involved in the cannabinoid-induced CNS effects (including alterations in mood and cognition) experienced by users of marijuana. Multiple transcript variants encoding two different protein isoforms have been described for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1268"">https://www.ncbi.nlm.nih.gov/gene/1268</a>"
